problemTitle,language,code
Third Maximum Number,c,"int thirdMax(int* nums, int numsSize) {\n    long first = LONG_MIN, second = LONG_MIN, third = LONG_MIN;\n    for (int i = 0; i < numsSize; i++) {\n        long n = nums[i];\n        if (n == first || n == second || n == third)\n            continue;\n        if (n > first) {\n            third = second;\n            second = first;\n            first = n;\n        }\n        else if (n > second) {\n            third = second;\n            second = n;\n        }\n        else if (n > third) {\n            third = n;\n        }\n    }\n    return (third == LONG_MIN)?first:third;\n}"
Third Maximum Number,c,"int thirdMax(int* nums, int numsSize) {\n    long long max=LLONG_MIN,max2=LLONG_MIN,max3=LLONG_MIN;\n    for(int i=0;i<numsSize;i++){\n        if(nums[i]==max||nums[i]==max2||nums[i]==max3)\n        continue;\n        if(nums[i]>max){\n            max3=max2;\n            max2=max;\n            max=nums[i];\n        }\n        else if (nums[i]>max2){\n            max3=max2;\n            max2=nums[i];\n        }\n        else if(nums[i]>max3){\n            max3=nums[i];\n        }\n    }\n    if(max3==LLONG_MIN)\n    return max;\n    \n    return max3;\n\n}"
Third Maximum Number,c,// Third Maximum Number\n// TODO: Implement solution\n\nvoid solution() {\n    long max1=LONG_MIN;\n    long max2=LONG_MIN;\n    long max3=LONG_MIN;\n    for(int i=0;i<numsSize;i++){\n        if(nums[i]>max1){\n            max1=nums[i];\n        }\n    }\n    for(int i=0;i<numsSize;i++){\n        if(nums[i]>max2 && nums[i]!=max1){\n            max2=nums[i];\n        }\n    }\n    for(int i=0;i<numsSize;i++){\n        if(nums[i]>max3 && nums[i]!=max1 && nums[i]!=max2){\n            max3=nums[i];\n        }\n    }\n    if(max1==max2){\n        return max1;\n    }\n    for(int i=0;i<numsSize;i++){\n        if(nums[i]>max3 && nums[i]!=max1 && nums[i]!=max2){\n            max3=nums[i];\n        }\n    }\n    if(max3==LONG_MIN){\n        return max1;\n    }\n    return max3;\n}
Third Maximum Number,c,"// Third Maximum Number\n// TODO: Implement solution\n\nint thirdMax(int* nums, int numsSize) {\n    long long first=LLONG_MIN;\n    long long sec=LLONG_MIN;\n    long long third=LLONG_MIN;\n    for(int i=0;i<numsSize;i++)\n    {\n        if(nums[i]==first || nums[i]== sec || nums[i]==third) { continue; }\n        else if(nums[i]>first){\n            third=sec;\n            sec=first;\n            first=nums[i];\n        }\n        else if(nums[i]>sec)\n        {\n            third=sec;\n            sec=nums[i];\n        }\n        else if(nums[i]>third)\n        {\n            third=nums[i];\n        }\n    }\n    if(third==LLONG_MIN) { return first; }\n    else\n    return third;\n}"
Third Maximum Number,c,"// Third Maximum Number\n// TODO: Implement solution\n\nvoid solution() {\n#include <limits.h>\n\nint thirdMax(int* nums, int numsSize) {\n    long  fmax=LONG_MIN,smax=LONG_MIN,tmax=LONG_MIN+10;\n    for(int i=0;i<numsSize;i++)\n    {\n\n        long long x=nums[i];\n        if(x==fmax || x==smax|| x==tmax)\n        {\n            continue;\n        }\n        if(x>fmax)\n        {\n            tmax=smax;\n            smax=fmax;\n            fmax=x;\n        }else if(x>smax)\n        {\n            tmax=smax;\n            smax=x;\n        }else if(x>tmax)\n        {\n            tmax=x;\n        }\n    }\n    if(tmax==LONG_MIN)\n    {\n        return fmax;\n    }\n    return tmax;\n}\n\n    \n}"
Third Maximum Number,c,"// Third Maximum Number\n// TODO: Implement solution\n\n#include <stdio.h>\nint thirdMax(int* nums, int numsSize) {\n    int i,j,temp,max=0;\n    for(i=0;i<numsSize;i++)\n    {\n        for(j=i+1;j<numsSize;j++)\n        {\n            if(nums[i]>nums[j])\n            {\n                temp=nums[i];\n                nums[i]=nums[j];\n                nums[j]=temp;\n            }\n        }\n    }\n    int k=0;\n    for(i=0;i<numsSize;i++)\n    {\n        for(j=i+1;j<numsSize;j++)\n        {\n            if(nums[i]!=nums[j])\n            {\n                nums[k++]=nums[i];\n            }\n        }\n\n    }\n    if(numsSize>=3)\n    {\n        max=nums[2];\n  return max;\n    }\n    else if(numsSize==2)\n    {\n        max=nums[1];\n        return max;\n    }\n    else\n    {\n        max=nums[0];\n        return max;\n    }\n  \n    \n}\n    \n}\nint main()\n{ int nums[100];\nint numsSize;\nint i;\nscanf(""%d"",&numsSize);\nfor(i=0;i<numsSize;i++)\n{\nscanf(""%d"",&nums[i]);\n}\nprintf(""%d"",thirdMax(nums,numsSize));\n}\n}\n"
Third Maximum Number,c,"// Third Maximum Number\n// TODO: Implement solution\n\nvoid solution() {\n    int fmax=INT_MIN,smax=INT_MIN,tmax=INT_MIN;\n    int t=0;\n    for(int i=0;i<numsSize;i++){\n        if(nums[i]==INT_MIN)\n        t=nums[i];\n\n        if(nums[i]>fmax){\n            tmax=smax;\n            smax=fmax;\n            fmax=nums[i];\n        }else if(nums[i]<fmax && nums[i]>smax){\n            tmax=smax;\n            smax=nums[i];\n        }else if(nums[i]<smax && nums[i]>tmax){\n            tmax=nums[i];\n        }\n    }\n    if(t==0 && tmax==INT_MIN){\n        return fmax;\n    }\n    else if(tmax==smax){\n        return fmax;\n    }\n    else if(t!=0){\n        return t;\n    }\n    else{\n        return tmax;\n    }\n}"
Third Maximum Number,c,"// Third Maximum Number\n// TODO: Implement solution\n\nvoid solution() {\n    int fmax=INT_MIN,smax=INT_MIN,tmax=INT_MIN;\n    int t=0;\n    for(int i=0;i<numsSize;i++){\n        if(nums[i]==INT_MIN)\n        t=nums[i];\n\n        if(nums[i]>fmax){\n            tmax=smax;\n            smax=fmax;\n            fmax=nums[i];\n        }else if(nums[i]<fmax && nums[i]>smax){\n            tmax=smax;\n            smax=nums[i];\n        }else if(nums[i]<smax && nums[i]>tmax){\n            tmax=nums[i];\n        }\n    }\n    if(t==0 && tmax==INT_MIN){\n        return fmax;\n    }\n    else if(tmax==smax){\n        return fmax;\n    }\n    else if(t!=0){\n        return t;\n    }\n    else{\n        return tmax;\n    }\n}"
Third Maximum Number,c,"// Third Maximum Number\n// TODO: Implement solution\n\nvoid solution() {\n    int thirdMax(int* nums, int numsSize) {\n    long f=LONG_MIN,s=LONG_MIN,t=LONG_MIN;\n    for(int i=0;i<numsSize;i++){\n        long x=nums[i];\n    \n        if(x==f || x==s || x==t){\n            continue;\n        }\n\n        if(x>f){\n            t=s;\n            s=f;\n            f=x;\n        }\n        else if(x>s){\n            t=s;\n            s=x;\n        }\n        else if(x>t){\n            t=x;\n        }\n    }\n    if(t==LONG_MIN){\n        return f;\n    }\n    return t;\n}\n}"
Third Maximum Number,c,"int thirdMax(int* nums, int numsSize) {\n    long max1=LONG_MIN;\n    long max2=LONG_MIN;\n    long max3=LONG_MIN;\n    for(int i=0;i<numsSize;i++){\n        if(nums[i]>max1){\n            max1=nums[i];\n        }\n    }\n    for(int i=0;i<numsSize;i++){\n        if(nums[i]>max2 && nums[i]!=max1){\n            max2=nums[i];\n        }\n    }\n    for(int i=0;i<numsSize;i++){\n        if(nums[i]>max3 && nums[i]!=max1 && nums[i]!=max2){\n            max3=nums[i];\n        }\n    }\n    if(max1==max2){\n        return max1;\n    }\n    for(int i=0;i<numsSize;i++){\n        if(nums[i]>max3 && nums[i]!=max1 && nums[i]!=max2){\n            max3=nums[i];\n        }\n    }\n    if(max3==LONG_MIN){\n        return max1;\n    }\n    return max3;\n}"
