problemTitle,language,code
Third Maximum Number,cpp,"class Solution {\npublic:\n    int thirdMax(vector<int>& nums) {\n    int n = nums.size();\n    long max1 = LONG_MIN, max2 = LONG_MIN, max3 = LONG_MIN;\n\n    for (int i = 0; i < n; i++) {\n        if (max1 < nums[i]) {\n            max3 = max2;\n            max2 = max1;\n            max1 = nums[i];\n        } \n        else if (max2 < nums[i] && nums[i] != max1) {\n            max3 = max2;\n            max2 = nums[i];\n        } \n        else if (max3 < nums[i] && nums[i] != max2 && nums[i] != max1) {\n                max3 = nums[i];\n        }\n    }\n\n    return max3 == LONG_MIN ? max1 : max3;\n\n    }\n};"
Third Maximum Number,cpp,"class Solution {\npublic:\n    int thirdMax(vector<int>& nums) {\n        \n        sort(nums.begin(),nums.end());\n        int c=0;\n        nums.erase(unique(nums.begin(),nums.end()),nums.end());\n        if(nums.size()==1){\n            return nums[0];\n        }\n        if(nums.size()<3){\n            if(nums[0]>nums[1]){\n                return nums[0];\n            }\n            else{\n                return nums[1];\n            }\n        }\n        for(int i=0;i<nums.size();i++){\n            for(int j=0;j<nums.size();j++){\n                   if(nums[i]!=nums[j]){\n                    if(nums[i]<nums[j]){\n                        c++;\n                    }\n                   }\n            }\n              if(c==2){\n                    return nums[i];\n                   }\n                   c=0;\n        }\n        return 0;\n    }\n};"
Third Maximum Number,cpp,"// Third Maximum Number\n// TODO: Implement solution\n\nclass Solution {\npublic:\n    void solution() {\n        set<int>max;\n        for(int i:nums){\n            max.insert(i);\n        }\n        if(max.size()==1){\n            return nums[0];\n        }\n        if(max.size()==2){\n            auto t=next(max.begin(),max.size()-1);\n            if(t!=max.end()){\n                return *t;\n            }\n        }\n        auto t=next(max.begin(),max.size()-3);\n        if(t!=max.end()){\n            return *t;\n        }\n        return 0;\n    \n    }\n};"
Third Maximum Number,cpp,"// Third Maximum Number\n// TODO: Implement solution\n\nclass Solution {\npublic:\n    void solution() {\n        set<int>max;\n        for(int i:nums){\n            max.insert(i);\n        }\n        if(max.size()==1){\n            return nums[0];\n        }\n        if(max.size()==2){\n            auto t=next(max.begin(),max.size()-1);\n            if(t!=max.end()){\n                return *t;\n            }\n        }\n        auto t=next(max.begin(),max.size()-3);\n        if(t!=max.end()){\n            return *t;\n        }\n        return 0;\n    \n    }\n};"
Third Maximum Number,cpp,"// Third Maximum Number\n// TODO: Implement solution\n\nclass Solution {\npublic:\n    void solution() {\n        sort(nums.begin(), nums.end());\n        nums.erase(unique(nums.begin(), nums.end()), nums.end());\n\n        reverse(nums.begin(), nums.end());\n\n        if(nums.size() < 3) return nums.front();        \n\n        return nums[2];        \n    }\n};"
Third Maximum Number,cpp,"// Third Maximum Number\n// TODO: Implement solution\n\nclass Solution {\npublic:\n    void solution() {\n        sort(nums.begin(),nums.end());\n        auto dup=unique(nums.begin(),nums.end());\n        nums.erase(dup,nums.end());\n        if(nums.size()==1)\n            return nums[0];\n        else if(nums.size()==2)\n            return nums[1];\n        else\n            return nums[nums.size()-3];   \n    }\n};"
Third Maximum Number,cpp,"// Third Maximum Number\n// TODO: Implement solution\n\nclass Solution {\npublic:\n    int thirdMax(vector<int>& nums) {\n        int max1 = nums[0];\n        int max2 = nums[0], max3 = nums[0];\n        int n = nums.size();\n\n        for (int i = 0; i < n; i++)\n        {\n            if (nums[i] > max1)\n            {    \n                max1 = nums[i];\n            }\n        }\n\n        int flag = 0;\n        for (int i = 0; i < n; i++) \n        {\n            if (nums[i] < max1) \n            {\n                max2 = nums[i];\n                flag = 1;\n                break;\n            }\n        }\n        if (flag == 0) \n        {\n            return max1;\n        }\n\n        for (int i = 0; i < n; i++)\n            if (nums[i] < max1 && nums[i] > max2)\n                max2 = nums[i];\n        \n        flag = 0;\n        for (int i = 0; i < n; i++) \n        {\n            if (nums[i] < max2) \n            {\n                max3 = nums[i];\n                flag = 1;\n                break;\n            }\n        }\n        if (flag == 0)\n        {\n            return max1;\n        }\n\n        for (int i = 0; i < n; i++)\n        {\n            if (nums[i] < max2 && nums[i] > max3)\n            {\n                max3 = nums[i];\n            }\n        }\n\n        return max3;\n    }\n};\n"
Third Maximum Number,cpp,"class Solution {\npublic:\n    int thirdMax(vector<int>& nums) {\n        int len = nums.size();\n        if(len == 1){\n            return nums[0];\n        }\n\n        unordered_set<int> uniques;\n        for(int x : nums){\n            uniques.insert(x);\n        }\n\n        vector<int> sortedUniques;\n\n        for(int x : uniques){\n            sortedUniques.push_back(x);\n        }\n\n        if(sortedUniques.size() == 1){\n            return sortedUniques[0];\n        }\n        sort(sortedUniques.begin(), sortedUniques.end());\n        if(sortedUniques.size() == 2){\n            return sortedUniques[1];\n        }\n        return sortedUniques[sortedUniques.size()-3];\n    }\n};"
Third Maximum Number,cpp,"#include <limits.h>\n\nclass Solution {\npublic:\n    int thirdMax(vector<int>& nums) {\n        int max = getMax(nums);\n        int trueMax = max;\n        remove(nums, max);\n        \n        for (int i=0; i<2; i++) {\n            if(nums.empty()) return trueMax;\n            max = getMax(nums);\n            remove(nums, max);\n        }\n        return max;\n    }\n\n    int getMax(vector<int>& nums) {\n        int max= INT_MIN;\n        for (int num: nums) {\n            if (num > max) max = num;\n        }\n        return max;\n    }\n    \n    void remove(vector<int>& nums, int val) {\n        for (int i=0; i<nums.size(); i++) {\n            if (nums[i] == val){\n                nums.erase(nums.begin() + i);\n                i--;\n            }\n        }\n    }\n};"
Third Maximum Number,cpp,// Third Maximum Number\n// TODO: Implement solution\n\nclass Solution {\npublic:\n    int thirdMax(vector<int>& nums) {\n        long f=INT_MIN;\n        long s=INT_MIN;\n        long t=INT_MIN;\n        int c=nums.size();\n    unordered_set<int> seen;\n    vector<int> result;\n    for (int x : nums) {\n        if (seen.find(x) == seen.end()) {\n            seen.insert(x);\n            result.push_back(x);\n        }\n    }\n        for(int i=0;i<result.size();i++){\n            if(result[i]>f){\n                t=s;\n                s=f;\n                f=result[i];\n            }\n            else if(result[i]>s){\n                t=s;\n                s=result[i];\n            }\n            else if(result[i]>t){\n                t=result[i];\n            }\n        }\n        if(result.size()<3){\n            return f;\n        }\n        else{\n            return t;\n        }\n        \n    }\n    \n};\n        \n  
Third Maximum Number,cpp,"// Third Maximum Number\n// TODO: Implement solution\n\nclass Solution {\npublic:\n    void solution() {\n        sort(nums.begin(),nums.end());\n        int index=1;\n        for(int i=1;i<nums.size();i++){\n            if(nums[i]!=nums[i-1]){\n                nums[index]=nums[i];\n                index++;\n            }\n        }\n        if(index<3){\n        if(index==1){\n            return nums[0];\n        }else if(nums[0]<nums[1]){\n            return nums[1];\n        }else{\n            return nums[0];\n        }\n        }\n        return nums[index-3];\n    }\n};"
Third Maximum Number,cpp,"class Solution {\npublic:\n    int thirdMax(vector<int>& nums) {\n        int count=0;\n        int first=INT_MIN;\n        {\n            for(int i=0;i<nums.size();i++)\n            {\n                first=max(first,nums[i]);\n\n            }\n            if(nums.size()<3)\n            {\n                return first;\n            }\n            else\n            {\n                count=1;\n                int second=INT_MIN;\n                for(int i=0;i<nums.size();i++)\n                {\n                    if(first>nums[i])\n                        second=max(second,nums[i]);\n                }\n                int third=INT_MIN;\n                for(int i=0;i<nums.size();i++)\n                {\n                    if(second>nums[i])\n                        third=max(third,nums[i]);\n                }\n\n                return third;\n\n\n        }\n    \n        \n    }\n\n\n    }\n};"
Third Maximum Number,cpp,class Solution {\npublic:\n    int thirdMax(vector<int>& nums) {\n        int n = nums.size();\n        int max = nums[0];\n        int min = nums[0];\n        int sec = 0;\n        for(int i=0;i<n;i++){\n            if(nums[i] > max){\n                max = nums[i];\n            }\n        }\n        for(int i=0;i<n;i++){\n            if(nums[i] < min){\n                min = nums[i];\n            }\n        }\n        for(int i=0;i<n;i++){\n            if(nums[i] > min && nums[i] < max){\n                sec = nums[i];\n            }\n        }\n        if(sec > 0){\n            return max;\n        }\n        return min;\n    }\n};
